"repo_url","description","languages","num_commits","first_commit_date","last_commit_date","num_contributors","contributor_usernames","agency","organization"
"https://github.com/USDA-NRCS/NRCS-Engineering-Tools---ArcGIS-Pro","Future home of the UDSA-NRCS Engineering Tools for ArcGIS Pro","Python",80,"2020-04-14T14:34:05Z","2021-07-02T18:48:46Z",2,"ajdiazdk, CEM-NRCS","Natural Resources Conservation Service","USDA-NRCS"
"https://github.com/USDA-NRCS/NRCS-Engineering-Tools---ArcMap","USDA-NRCS Engineering Tools for ArcMap 10.x","Python",24,"2020-06-03T16:31:12Z","2021-05-18T19:43:33Z",1,"CEM-NRCS","Natural Resources Conservation Service","USDA-NRCS"
"https://github.com/USDA-NRCS/Soil-Data-Development-Tools---ArcMap","The Soil Data Development Tools for ArcGIS™ contain a suite of ArcGIS tools used to process and manage Soil Survey Geographic Database (SSURGO) datasets.  It includes the same toolset used by USDA-NRCS to create and publish the gSSURGO databases each year.  Other tools for creating soil maps and reports are also included.  See the Development User Guide and the gSSURGO Mapping Toolset documents for more information.","Python, XSLT",14,"2021-12-17T15:21:30Z","2023-01-13T00:33:40Z",2,"ajdiazdk, StumWhere","Natural Resources Conservation Service","USDA-NRCS"
"https://github.com/USDA-NRCS/GNT-Pro","NRCS template in ArcGIS Pro for mapping of setbacks to support creation of data to be transferred to MMP","Python",11,"2024-04-23T21:34:49Z","2024-11-21T20:08:01Z",2,"CEM-NRCS, dylan-harwell-usda","Natural Resources Conservation Service","USDA-NRCS"
