"repo_url","description","languages","num_commits","first_commit_date","last_commit_date","num_contributors","contributor_usernames","agency","organization"
"https://github.com/noaa-ncai/learning-journey","The NOAA Center for Artificial Intelligence Learning Journey Repository","Jupyter Notebook",45,"2023-09-15T21:06:36Z","2024-11-07T20:34:15Z",3,"cslocum-noaa, rredmon-noaa, meyerba","National Oceanic and Atmospheric Administration","noaa-ncai"
"https://github.com/noaa-ncai/learning-journey-contributor-resources","NOAA Center for Artificial Intelligence Learning Journey Library Contributor Resources","Jupyter Notebook",4,"2024-07-23T15:57:21Z","2024-07-23T16:03:10Z",1,"cslocum-noaa","National Oceanic and Atmospheric Administration","noaa-ncai"
