"repo_url","description","languages","num_commits","first_commit_date","last_commit_date","num_contributors","contributor_usernames","agency","organization"
"https://github.com/noaa-gml/rtorf",NA,"R, TeX",89,"2023-04-20T21:26:50Z","2024-11-14T00:26:03Z",1,"ibarraespinosa","National Oceanic and Atmospheric Administration","NOAA-GML"
"https://github.com/noaa-gml/ardupilot","ArduPlane, ArduCopter, ArduRover, ArduSub source","C++, Python, C, Objective-C, Lua, HTML, MATLAB, Shell, JavaScript, Makefile, NASL, OpenEdge ABL, Batchfile, Assembly, Kotlin, CSS, PHP, Nasal, Roff, PowerShell, CMake, Dockerfile, Gnuplot, Emacs Lisp",56227,"2010-05-14T17:48:06Z","2023-01-22T23:42:47Z",296,"tridge, peterbarker, rmackay9, lucasdemarchi, IamPete1, WickedShell, priseborough, magicrub, bugobliterator, khancyr, andyp1per, lthall, jason4short, jschall, guludo, meee1, jaxxzer, muramura, amilcarlucas, pchickey, Hwurzburg, R-Lefebvre, hendjoshsr71, OXINARF, patrickelectric, bnsgeyer, kd0aij, rishabsingh3003, mirkix, cmarcelo, staroselskii, gmorph, samuelctabor, tatsuy, yaapu, EShamaev, Williangalvani, rjehangir, jgoppert, vmayoral, a432511, night-ghost, LukeMike, MattKear, sh83, squilter, zlite, shiv-tyagi, floaledm, mikemccauley, chobitsfan, ricdevz, emilecastelnuovo, joshanne, dougweibel, mday299, Pedals2Paddles, stephendade, Jaaaky, vierfuffzig, geeksville, zehortigoza, arthurbenemann, rajat2004, EbinPhilip, lvale, TunaLobster, RuffaloLavoisier, chapman, dgrat, AndKe, NeuroCopter, shellixyz, SchrodingersGat, MichelleRos, davidbuzz, HefnySco, pkocmoud, njoubert, mbelluzzo-intel, JohnArneBirkeland, DonLakeFlyer, giacomo892, ashvath100, karthikdesai, ShingoMatsuura, kwikius, raspilot, tajisoft, akdslr, fhedberg, aantonop, badzz, stefanlynka, hazyhxj, onceme, QioTek, AlexeyBulatov, lgywata, yuri-rage, Clouded, MatthewHampsey, Ammarf, mxiaogit, Ju1ien, hiro2233, hsteinhaus, esaldiran, dheideman, arjun7965, harshitsankhla, MallikarjunSE, MATEKSYS, proficnc, auturgy, xiew, rbeall-kha, commonism, liang-tang, fnoop, StewLG, eskaflon, CUAVcaijie, jlnaudin, jpkh, nkruzan, JanneMantyharju, akolobov, AndersonRayner, jbardu, taedla01, nitirohilla, mustafa-gokce, ChrisBird, owenson, arikrupnik, kozinalexey, juvinski, shubham-shahh, olliw42, davidaroyer, wiktor-m, mayanez, mariansoban, foobarbecue, lekston, reilly-callaway, 8W9aG, Naterater, pepevalbe, xianglunkai, SergeyBokhantsev, DavidIngraham, arshPratap, pl-kabaradjian, thien94, ntamas, mentonin, GuilhermeGSousa, Gussy, dricketts, danielwidmann, WillyZehnder, tcr3dr, khanasif786, thenicekat, anbello, billbonney, CraigElder, 256shadesofgrey, ES-Alexander, nexton-winjeel, msadowski, lpereira, aviaks, wiseman, NosDE, climr, guglie, AEROFOXtech, svefro, ebethon, robertlong13, frizensami, martinevans, brad112358, philcole, Maarrk, hamishwillee, jmachuca77, rcairman, bys1123, willpiper24, ggregory8, andypnz, CallanDaniel, drnic, ethomas997, EViationGuy, KimHyungSub, jbdubois, petalogix, viniciusknabben, julianoes, loki077, codeoftherings, pavel-kirienko, rralf, phamelin, Pradeep-Carbonix, srmainwaring, naktinis, salonijain12, snktshrma, sparlane, skorokithakis, vlad-zakharov, linuxjumper, AlexKlimaj, apinxiko, Hs293Go, orlando3d, ziltoid2, bstone04, NullVoxPopuli, mikew99, davisschenk, avelte3, caomuqing, dneault333, 1iggy2, davidbitton, claymation, Ferruccio1984, FrancoisCarouge, Georacer, spark404, Huibean, IanBurwell, tenten8401, jdsaund, JoshWelsh, jaylthegreat, justinclift, Kelly-Foster, lavachemist, lfrodrigues, MAD-CRAZY-MAN, mothacehe, pavloblindnology, palladin82, nrw505, englens, nghiajenius-dev, nathanhitec, MisterMower, MingchenZhang, mpetrasinovic, matthewlloyd, Linjieqiang, 4712, rrr6399, BluemarkInnovations, sandrobenigno, sgpobrien, GHswitt, pistolero, sharvashish, silvianunez, JustCurious8, dorovl, radiohound, ak-ironix, Akshath-Singhal, bk-mtg, brnjones, fbredeme, cehberlin, derekxm, dipspb, e-fominov, brotherlymite, jdrusso, JIMWAR, jimsynz, JamesSto, johnboiles, jstck, trjw, deverejohn, jffortuna, KiwiHC16, krisklau, hdtechk, larsks, lgarciaos","National Oceanic and Atmospheric Administration","NOAA-GML"
"https://github.com/noaa-gml/MissionPlanner","GCS Fork of Mission Planner for HORUS","C#, JavaScript, Lua, Python, HTML, XSLT, CSS, Smalltalk, C++, C, Batchfile, Shell, PowerShell",6446,"2013-02-04T22:54:19Z","2023-05-02T06:03:16Z",105,"meee1, SkiTiSu, EosBandi, muramura, StevenHAtRFDesign, magicrub, tridge, robertlong13, IamPete1, rmackay9, kjeremy, LukeMike, tatsuy, JWangAeronavics, dependabot[bot], SergeyBokhantsev, hendjoshsr71, sborenstein-ift, tajisoft, ustramooner, davidbuzz, OXINARF, EllisSu, lovettchris, chobitsfan, gediminasgu, irissam, bys1123, ZeroPointGaming, EShamaev, wjax, rupertbenbrook-aa, emilecastelnuovo, ZeSly, mxiaogit, Hangarspace, khancyr, rh-galaxy, stephendade, azure-pipelines[bot], haripradhan, AndresUsandi, mredstall, Autonomost, yuri-rage, vierfuffzig, aunrela, kwist-sgr, LEGIONBOSS, avrem, arthurbenemann, Bravojul, mairsbw, QioTek, MRazgunas, Hwurzburg, ivan95603, kd0aij, mmiers, Naterater, onurerden, peterbarker, ricitron, roberthudson, Naphier, dorisugita, shuhangz, gitter-badger, TunaLobster, vincentpoont2, auturgy, csiriett, digitalcraft, hazyhxj, jasells, jawad111, jfint, silentjet, nicholas-inocencio, pkocmoud, BluemarkInnovations, arBalasquide, AeroHawk, amsjavan, andyp1per, bugrahancamlibel, CraigElder, dagar, dan-leo, danielwidmann, Fi156, Shackmeister, BourgeoisLab, gonzaloalonsod, JamesMorritt, jarivanewijk, jjlin, Jingxian-Xiao, johnath, kkebo, liamclarkza, lvale, marcoarruda, mattogodoy, MattKear","National Oceanic and Atmospheric Administration","NOAA-GML"
